,id,winning_team,blue_wards_placed,blue_wards_killed,blue_champions_killed,blue_elites_killed,blue_plates_destroyed,blue_turrets_destroyed,blue_total_gold,blue_average_level,blue_jungle_monsters_killed,blue_minions_killed,blue_first_blood,red_wards_placed,red_wards_killed,red_champions_killed,red_elites_killed,red_plates_destroyed,red_turrets_destroyed,red_total_gold,red_average_level,red_jungle_monsters_killed,red_minions_killed,red_first_blood,red_first_blodd
8807,NA1_4427986635,200,19,1,5,1,0,0,16444,7.2,52,232,1,13,4,6,1,2,0,16068,7.0,45,226,0,
8809,NA1_4506708281,100,24,1,9,0,5,0,17822,7.0,45,209,1,14,1,6,2,0,0,16235,6.8,72,172,0,
8810,NA1_4506691097,200,17,3,5,1,2,0,16391,7.2,68,197,1,17,3,6,0,2,0,17187,7.2,52,237,0,
8811,NA1_4506675241,100,12,0,5,2,1,0,16044,6.8,68,197,1,11,0,6,0,5,0,17644,7.0,56,206,0,
8812,NA1_4506655481,200,16,0,5,0,3,0,16568,6.8,72,187,1,15,2,8,1,2,0,18319,7.2,76,232,0,
8814,NA1_4505140467,100,11,1,7,2,2,0,18071,7.0,68,201,1,13,0,3,0,3,0,16642,7.4,80,237,0,
8815,NA1_4505132076,200,9,2,1,1,1,0,14810,6.8,68,213,0,15,1,8,0,0,0,18499,7.2,60,252,0,1.0
8816,NA1_4505114067,100,11,3,5,2,3,0,17319,7.0,63,226,0,16,0,7,0,3,0,17491,7.2,52,226,0,1.0
8822,NA1_4503314251,200,12,3,3,0,1,0,15267,6.6,52,236,0,15,3,11,1,1,0,18661,7.4,64,194,0,1.0
8823,NA1_4503280584,200,13,2,0,1,1,0,13881,7.0,68,203,0,49,1,3,0,2,0,15355,7.4,68,203,0,1.0
8824,NA1_4503156314,100,12,2,10,0,2,0,17947,7.2,64,218,0,17,0,7,2,6,0,18234,7.2,64,217,0,1.0
8825,NA1_4503112429,100,20,1,6,0,3,0,16834,6.8,46,228,0,14,1,10,0,3,0,17807,7.4,49,212,0,1.0
8826,NA1_4502480943,100,12,1,7,0,0,0,16942,7.2,72,195,1,15,4,8,1,2,0,17687,7.0,64,199,0,
8827,NA1_4502446618,200,14,2,6,0,0,0,16960,7.0,56,207,1,14,2,7,2,6,0,18610,7.2,68,207,0,
8828,NA1_4506761610,200,14,1,6,0,0,0,16356,6.8,56,202,0,11,5,7,1,2,0,18752,7.4,56,237,0,1.0
8829,NA1_4506749208,100,9,1,5,1,2,0,17717,7.0,56,209,0,9,3,8,0,0,0,17158,7.2,64,205,0,1.0
8832,NA1_4506702422,100,18,1,13,1,7,1,21352,7.6,78,250,1,8,0,2,0,0,0,14748,6.6,58,203,0,
8833,NA1_4498025718,100,19,1,10,0,4,0,18791,7.0,45,240,1,13,0,4,0,1,0,15195,6.6,48,166,0,
8834,NA1_4498006210,100,12,1,4,1,4,0,16450,7.0,60,214,0,16,0,3,1,3,0,16642,7.2,76,227,0,1.0
8835,NA1_4497980813,200,14,4,4,0,0,0,14876,7.0,60,197,0,13,5,8,1,5,0,18634,7.0,75,234,0,1.0
8836,NA1_4497954149,100,13,4,4,1,3,0,17506,7.4,64,262,0,14,2,4,0,1,0,15923,7.2,64,249,0,1.0
8837,NA1_4493370100,100,17,1,15,0,6,0,21426,7.2,75,189,1,17,2,2,0,1,0,13957,6.4,36,206,0,
8839,NA1_4496575222,200,14,4,6,1,2,0,17032,7.0,56,215,1,14,0,3,0,1,0,16643,7.2,76,238,0,
8840,NA1_4495085264,200,17,1,6,1,3,0,17236,7.2,60,255,1,13,5,5,0,3,0,17049,7.2,56,203,0,
8841,NA1_4494876286,200,27,6,6,1,3,0,17956,6.8,48,216,0,14,1,8,0,1,0,17522,6.6,44,193,0,1.0
8842,NA1_4494809551,200,19,5,6,1,2,0,17761,7.0,68,202,1,20,4,8,0,3,0,18463,7.6,56,220,0,
8843,NA1_4490768846,100,12,2,6,0,2,0,17234,7.2,76,233,1,18,3,3,1,0,0,14432,6.8,60,183,0,
8844,NA1_4490734399,200,14,1,2,0,0,0,14804,6.8,56,209,0,15,1,7,1,3,0,17721,7.2,60,240,0,1.0
8845,NA1_4487063928,100,18,0,2,1,2,0,15284,6.8,56,211,1,18,3,5,0,0,0,15527,7.0,52,226,0,
8846,NA1_4487042098,100,16,1,7,1,4,0,18047,6.8,56,215,1,12,0,4,0,0,0,14131,6.4,40,159,0,
8847,NA1_4485618569,100,21,2,5,1,2,0,16996,6.8,55,240,1,17,2,5,0,1,0,16211,6.8,48,214,0,
8848,NA1_4481597274,100,14,1,5,0,0,0,16623,6.8,52,240,0,32,2,10,1,2,0,19243,7.2,72,266,0,1.0
8849,NA1_4481563167,100,15,6,9,1,3,0,18995,7.0,64,210,0,65,0,8,1,4,0,18767,7.0,62,203,0,1.0
8850,NA1_4481466771,100,34,3,14,1,3,0,19749,6.8,45,220,1,15,2,10,0,1,0,17528,6.6,41,176,0,
