,id,winning_team,blue_wards_placed,blue_wards_killed,blue_champions_killed,blue_elites_killed,blue_plates_destroyed,blue_turrets_destroyed,blue_total_gold,blue_average_level,blue_jungle_monsters_killed,blue_minions_killed,red_wards_placed,red_wards_killed,red_champions_killed,red_elites_killed,red_plates_destroyed,red_turrets_destroyed,red_total_gold,red_average_level,red_jungle_monsters_killed,red_minions_killed
463,NA1_4460189039,200,12,1,3,0,1,0,14842,6.8,52,225,19,1,6,1,1,0,17192,7.2,63,253
464,NA1_4446367536,100,19,3,12,0,4,0,19010,7.4,57,233,14,3,6,1,1,0,15822,6.4,48,168
465,NA1_4446385765,100,16,4,12,0,4,0,18973,7.0,40,228,14,1,8,0,1,0,17467,7.0,63,193
466,NA1_4424303117,200,13,2,4,1,2,0,15512,7.0,56,196,13,1,5,0,1,0,15680,7.4,56,211
467,NA1_4424258722,100,18,2,10,2,2,0,18338,7.2,63,189,15,3,6,0,1,0,16125,7.0,40,190
468,NA1_4498378727,100,39,1,6,1,3,0,16575,7.0,48,210,179,5,6,1,2,0,16618,7.0,48,205
469,NA1_4498358276,100,15,1,10,2,3,0,19411,7.4,72,224,13,2,5,0,0,0,16250,7.0,68,203
470,NA1_4498169708,200,15,6,4,0,0,0,16063,7.0,52,224,41,2,4,1,0,0,15438,7.2,72,195
471,NA1_4492368387,200,12,3,1,0,0,0,13838,6.6,34,226,18,3,6,1,2,0,18518,7.2,75,237
472,NA1_4491724965,200,17,4,5,1,0,0,15907,6.8,53,201,18,0,8,1,3,0,18892,7.0,56,228
473,NA1_4491326227,100,18,0,12,0,4,0,20042,7.2,72,202,12,4,6,1,4,0,17215,6.4,51,228
474,NA1_4491310228,200,13,1,3,1,2,0,15069,6.8,69,205,13,4,5,1,1,0,16429,6.8,61,213
475,NA1_4491289293,200,29,5,7,0,3,0,17517,7.0,64,220,15,2,8,0,3,0,17425,6.8,48,215
476,NA1_4491266429,100,14,4,10,1,3,0,19667,7.4,61,236,16,1,7,1,1,0,17423,7.0,68,213
477,NA1_4504581137,200,1,0,0,0,0,0,2500,1.0,0,0,0,0,0,0,0,0,2585,1.2,4,0
478,NA1_4504340032,100,13,1,6,0,2,0,17508,7.2,63,227,14,1,7,0,2,0,17549,7.2,60,223
479,NA1_4504318651,200,10,1,7,2,4,0,17872,6.8,64,185,12,3,11,0,4,0,20348,7.2,72,233
480,NA1_4503378738,100,13,0,5,1,1,0,16447,7.0,72,207,17,2,6,1,4,0,16901,7.4,64,220
481,NA1_4502651339,200,15,0,9,1,3,0,18733,7.2,60,211,14,3,9,1,2,0,16515,7.2,59,202
482,NA1_4502468614,200,16,2,7,1,4,0,17339,6.6,42,208,16,2,11,1,2,0,18558,7.4,56,213
483,NA1_4502328279,100,14,1,14,1,5,0,20450,7.6,57,234,14,1,2,0,0,0,13130,6.2,46,166
484,NA1_4502297487,200,12,2,8,0,2,0,17505,6.4,48,171,23,4,12,1,4,0,18231,7.0,64,189
485,NA1_4502259625,100,13,2,13,1,4,0,20741,7.0,67,212,13,1,11,1,3,0,18744,7.0,52,203
486,NA1_4491448858,200,16,2,8,1,2,0,17665,6.8,60,204,95,3,7,1,1,0,16397,6.8,53,187
487,NA1_4491427101,200,17,4,5,1,1,0,16449,6.8,44,207,61,4,7,1,3,0,18415,7.2,69,229
488,NA1_4490615532,200,47,2,5,0,3,0,15959,7.0,56,186,18,1,9,0,2,0,17740,7.4,56,206
489,NA1_4489556026,200,18,4,9,1,2,0,17474,7.2,48,208,10,1,5,1,1,0,16712,7.4,64,206
490,NA1_4489534446,100,14,4,3,2,0,0,14973,7.0,60,198,17,0,5,0,0,0,15472,7.2,68,216
491,NA1_4489502306,100,14,2,8,0,3,0,18200,6.8,55,202,16,2,11,2,2,0,18392,6.8,44,199
492,NA1_4489490310,100,16,2,5,2,5,1,18542,7.2,68,232,14,2,5,0,4,0,16151,6.6,46,223
493,NA1_4489488744,100,41,4,7,1,0,0,16312,6.4,46,185,34,5,9,0,3,0,19146,6.8,52,234
494,NA1_4489471505,100,18,4,7,0,4,0,17272,7.2,52,209,20,1,5,1,1,0,15597,6.6,51,196
495,NA1_4503904006,100,32,0,9,1,1,0,18041,7.2,76,199,15,5,3,0,1,0,15021,6.8,56,214
496,NA1_4502056152,200,18,2,5,0,1,0,15537,7.0,56,206,13,3,4,1,4,0,16723,7.0,71,218
497,NA1_4502039847,200,18,4,13,0,7,0,21245,7.4,54,244,15,1,7,0,2,0,16543,7.0,44,171
498,NA1_4501907522,100,10,2,7,1,0,0,17103,7.4,68,240,13,1,3,0,1,0,15088,7.0,53,241
499,NA1_4501803643,100,26,1,9,0,2,0,18540,7.0,64,224,13,2,6,1,0,0,16511,7.2,60,214
500,NA1_4501490409,200,15,3,5,2,1,0,17057,7.0,72,218,17,2,7,0,0,0,16425,7.2,64,191
501,NA1_4501457343,100,17,2,7,1,4,0,17807,7.0,48,211,15,5,4,1,3,0,14958,6.8,62,187
502,NA1_4501340118,200,14,4,11,0,2,0,18153,6.6,40,185,15,2,16,1,4,0,21742,7.4,64,191
503,NA1_4501263166,100,15,6,6,0,1,0,17603,7.0,54,236,58,1,6,2,1,0,16488,7.0,61,203
504,NA1_4503883306,200,14,2,7,1,3,0,17976,7.2,68,212,16,1,11,0,0,0,18730,7.4,68,211
505,NA1_4503225626,200,13,3,6,0,0,0,15986,6.8,64,174,20,2,6,1,3,0,17873,7.6,68,243
506,NA1_4502827954,100,12,2,4,0,0,0,16448,7.2,68,251,15,3,3,1,3,0,16309,7.0,66,220
507,NA1_4502378985,100,12,3,6,1,1,0,16849,7.0,58,210,16,3,8,1,4,0,18837,7.0,69,214
508,NA1_4500717946,200,18,6,8,1,4,0,17926,6.6,48,199,17,5,12,0,2,0,19041,6.6,60,187
510,NA1_4500384428,200,23,4,6,1,0,0,16719,7.2,68,214,13,3,8,0,3,0,18764,7.6,72,251
511,NA1_4499267484,100,40,1,11,0,3,0,19859,7.6,50,248,13,11,7,0,0,0,16649,6.8,60,180
